Исходное слово|Перевод|Количество упоминаний
в|in|7
у|y|6
ты|ration|6
я|.|5
и|and|3
до|to|3
планировать|to plan|3
новый|new|3
как|as|3
хотеть|want|2
увидеться|see him. |2
встретиться|Meet|2
давать|ɡive|2
о|C|2
на|Moscow City Committee for State Registration of Real Estate Titles|2
сходить|go|2
сегодня|today|2
всё|Everything|2
тоже|the same|2
они|Oni|2
скорый|fast|1
так|so|1
пойти|to go|1
оттуда|Later he|1
метро|Rapid transit|1
возле|Near|1
быть|be|1
сколько|how much|1
туда|there...|1
центр|centre|1
кафе|of сafè|1
посетить|rèze|1
работа|work|1
после|after|1
удачный|Udachny|1
суббота|Saturday|1
кинотеатр|Movie theater|1
отличный|great|1
это|is|1
слышать|hear|1
комедия|Comedy|1
думать|think|1
что|what|1
фильм|movie|1
какой|which|1
звучать|to sound|1
мочь|might|1
ничего|Nothing|1
пока|while|1
план|forecast|1
есть|yes|1
а|a|1
нравиться|like|1
очень|very|1
